date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:39	2230/2230	---M--	200	added ('OK')	image/png	etag:%228b6-57362cbd990a3%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/icon-02.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/icon-02.png	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:39	2709/2709	---M--	200	added ('OK')	image/png	etag:%22a95-57362cbe62adc%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/icon-03.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/icon-03.png	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:40	16770/16770	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2009:44:40%20GMT	http://dreamguys.co.in/demo/medifab/blue/doctor-details.html	F:/hospital/dreamguys.co.in/demo/medifab/blue/doctor-details.html	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:40	5410/5410	---M--	200	added ('OK')	image/jpeg	etag:%221522-57362cb68ef07%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-01.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-01.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:41	6626/6626	---M--	200	added ('OK')	image/jpeg	etag:%2219e2-57362cb73eb38%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-02.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-02.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:42	6007/6007	---M--	200	added ('OK')	image/jpeg	etag:%221777-57362cb7bf96a%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-03.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-03.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:42	4483/4483	---M--	200	added ('OK')	image/jpeg	etag:%221183-57362cb86abaf%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-04.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-04.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:43	5405/5405	---M--	200	added ('OK')	image/jpeg	etag:%22151d-57362cb8ed93a%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-05.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-05.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:43	4635/4635	---M--	200	added ('OK')	image/jpeg	etag:%22121b-57362cb9a5a27%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-06.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-06.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:44	5533/5533	---M--	200	added ('OK')	image/jpeg	etag:%22159d-57362cba52f9f%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-07.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-07.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:44	4736/4736	---M--	200	added ('OK')	image/jpeg	etag:%221280-57362cbaf83db%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-08.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-08.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:45	4896/4896	---M--	200	added ('OK')	image/jpeg	etag:%221320-57362cbbbdbb1%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-09.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/doctor-thumb-09.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:45	17543/17543	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2009:44:46%20GMT	http://dreamguys.co.in/demo/medifab/blue/department-details.html	F:/hospital/dreamguys.co.in/demo/medifab/blue/department-details.html	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:46	1374/1374	---M--	200	added ('OK')	image/png	etag:%2255e-57362cbeec9d4%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/icon-04.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/icon-04.png	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:46	1476/1476	---M--	200	added ('OK')	image/png	etag:%225c4-57362cbf94cf2%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/icon-05.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/icon-05.png	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:47	1540/1540	---M--	200	added ('OK')	image/png	etag:%22604-57362cc00f1fd%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/icon-06.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/icon-06.png	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:48	1271/1271	---M--	200	added ('OK')	image/png	etag:%224f7-57362cc0bbb6c%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/icon-07.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/icon-07.png	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:48	1795/1795	---M--	200	added ('OK')	image/png	etag:%22703-57362cc13ba1c%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/icon-08.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/icon-08.png	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:49	1833/1833	---M--	200	added ('OK')	image/png	etag:%22729-57362cc1ff2eb%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/icon-09.png	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/icon-09.png	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:49	7730/7730	---M--	200	added ('OK')	image/jpeg	etag:%221e32-57362cc51bfc6%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/testi-03.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/testi-03.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:50	8419/8419	---M--	200	added ('OK')	image/jpeg	etag:%2220e3-57362cc4bc0ce%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/testi-02.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/testi-02.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:51	6909/6909	---M--	200	added ('OK')	image/jpeg	etag:%221afd-57362cc66aade%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/testi-05.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/testi-05.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:52	3984/3984	---M--	200	added ('OK')	image/jpeg	etag:%22f90-57362cc5d77a9%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/testi-04.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/testi-04.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:52	7275/7275	---M--	200	added ('OK')	image/jpeg	etag:%221c6b-57362cc3c8e81%22	http://dreamguys.co.in/demo/medifab/blue/assets/img/testi-01.jpg	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/img/testi-01.jpg	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:55	84159/84159	---M-Z	200	added ('OK')	application/javascript	etag:%22148bf-57362ccd214bf-gzip%22	http://dreamguys.co.in/demo/medifab/blue/assets/js/jquery.min.js	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/js/jquery.min.js	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:55	36919/36919	---M-Z	200	added ('OK')	application/javascript	etag:%229037-57362cc93d475-gzip%22	http://dreamguys.co.in/demo/medifab/blue/assets/js/bootstrap.min.js	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/js/bootstrap.min.js	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
15:14:55	40400/40400	---M-Z	200	added ('OK')	application/javascript	etag:%229dd0-57362ccdf2fe6-gzip%22	http://dreamguys.co.in/demo/medifab/blue/assets/js/owl.carousel.min.js	F:/hospital/dreamguys.co.in/demo/medifab/blue/assets/js/owl.carousel.min.js	(from http://dreamguys.co.in/demo/medifab/blue/index.html)
